,cust_id,birth_date,Age,acct_amount,acct_cur,inv_amount,fund_A,fund_B,fund_C,fund_D,account_opened,last_transaction
0,870A9281,6/9/1962,58,63523.31,dollar,51295,30105,4138,1420,15632,2/9/2018,22-02-19
1,166B05B0,12/16/1962,58,38175.46,dollar,15050,4995,938,6696,2421,28-02-19,31-10-18
2,BFC13E88,9/12/1990,34,59863.77,dollar,24567,10323,4590,8469,1185,25-04-18,2/4/2018
3,F2158F66,11/3/1985,35,84132.1,euro,23712,3908,492,6482,12830,7/11/2017,8/11/2018
4,7A73F334,5/17/1990,30,120512,euro,93230,12158.4,51281,13434,18383,14-05-18,19-07-18
5,472341F2,2/23/1980,40,83127.65,euro,67960,12686,19776,23707,11791,14-12-18,22-04-18
6,6B094617,8/26/1977,43,89855.98,euro,34549,1796,312,20610,11831,6/2/2018,14-02-19
7,80C0DAB3,10/14/1963,57,73951.45,euro,61649,15290,3991,36728,5640,3/4/2017,21-09-19
8,E52D4C7F,6/5/1975,49,61795.89,dollar,49385,12939,7757,12569,16120,22-05-17,24-10-19
9,BD7CF5D7,1/4/1965,55,82084.76,dollar,44338,18966,523,4903,19946,18-07-17,26-02-20
10,93F2F951,7/2/1982,38,93875.24,dollar,76562,29593,34379,4268,8322,21-08-17,10/7/2019
11,DE0A0882,10/8/1966,54,99998.35,dollar,18667,2156,2891,4476,9144,5/6/2017,15-01-19
12,EEBD980F,11/20/1990,34,57838.49,dollar,50812,18314,1477,29049.479999999996,5539,8/12/2018,4/1/2020
13,7D8EBAF6,11/22/1975,45,109943.03,dollar,81488,30856,2170,20410,28052,2/7/2017,22-02-20
14,987DC93E,3/13/1978,42,35924.41,dollar,14880,182,5064,3028,6606,30-12-18,6/12/2018
15,3C5CBBD7,5/20/1971,49,59678.01,dollar,35937,4133,8540,9595,13669,3/1/2019,2/10/2018
16,9A9BB390,10/10/1978,42,83653.09,dollar,,8117,8777,15380,12380,15-08-18,18-01-19
17,984403B9,1/30/1983,37,17939.88,euro,14427,6286,1050,3690,3401,7/10/2017,18-05-18
18,C9FB0E86,10/4/1965,55,88682.34,euro,26164,5504,4063,5602,10995,19-05-18,6/8/2019
19,DEB87C87,7/28/1993,27,64944.62,euro,31801,11828,13372,1039,5562,20-03-18,15-11-19
