name,birthday,blood_type
Beth,10/20/2019,B-
Ignatius,7/8/2020,A-
Paul,8/12/2019,O+
Helen,3/17/2019,O-
Jennifer,12/17/2019,Z+
Kennedy,4/27/2020,A+
Keith,4/19/2019,AB+
Name_8,8/28/2020,B+
Name_9,1/25/2020,O-
Name_10,10/25/2019,B-
Name_11,4/8/2020,B-
Name_12,10/16/2019,AB-
Name_13,1/8/2019,A+
Name_14,6/9/2019,AB+
Name_15,10/27/2020,B+
Name_16,4/4/2020,O-
Name_17,5/17/2019,AB-
Name_18,1/11/2019,Z+
Name_19,6/6/2019,A-
Name_20,4/2/2019,AB+
Name_21,3/7/2019,O+
Name_22,1/30/2020,B+
Name_23,3/22/2020,O-
Name_24,7/24/2019,AB+
Name_25,8/3/2019,A+
Name_26,5/29/2019,O+
Name_27,4/11/2020,B+
Name_28,11/19/2020,AB+
Name_29,3/12/2019,AB+
Name_30,7/25/2020,O+
Name_31,10/10/2020,B+
Name_32,11/24/2019,O+
Name_33,3/17/2019,AB-
Name_34,9/29/2019,A-
Name_35,5/12/2019,B+
Name_36,12/9/2020,A+
Name_37,3/2/2019,O+
Name_38,6/27/2020,O+
Name_39,4/4/2020,B-
Name_40,11/6/2020,AB-
Name_41,4/20/2020,O-
Name_42,6/27/2020,B-
Name_43,5/28/2020,O-
Name_44,6/12/2019,B+
Name_45,2/10/2020,B+
Name_46,6/12/2019,O+
Name_47,1/18/2019,O-
Name_48,9/15/2020,A-
Name_49,4/8/2020,B+
Name_50,6/26/2020,AB+
Name_51,9/8/2019,Z+
Name_52,9/7/2020,AB+
Name_53,8/6/2020,O+
Name_54,1/21/2020,B+
Name_55,2/20/2020,Z+
Name_56,12/5/2020,B+
Name_57,1/6/2020,O+
Name_58,12/21/2019,O-
Name_59,3/24/2020,B+
Name_60,4/5/2020,B+
Name_61,3/7/2019,B+
Name_62,2/2/2020,AB+
Name_63,10/15/2020,A+
Name_64,10/26/2020,AB-
Name_65,4/24/2019,B+
Name_66,12/31/2019,B-
Name_67,1/13/2019,O-
Name_68,7/27/2020,A+
Name_69,11/5/2020,A-
Name_70,5/16/2020,O+
Name_71,4/1/2019,B-
Name_72,6/24/2019,AB+
Name_73,2/1/2019,O+
Name_74,10/15/2020,O-
Name_75,8/27/2019,AB-
Name_76,9/7/2020,B+
Name_77,5/26/2019,A-
Name_78,6/21/2019,A-
Name_79,6/15/2019,A-
Name_80,2/27/2020,B+
Name_81,5/25/2019,A-
Name_82,10/1/2020,O-
Name_83,10/1/2019,AB+
Name_84,3/31/2019,AB-
Name_85,11/8/2020,O-
Name_86,12/12/2019,B-
Name_87,11/26/2019,Z+
Name_88,6/12/2020,AB-
Name_89,9/18/2020,AB-
Name_90,3/14/2020,AB+
Name_91,8/7/2019,O+
Name_92,5/6/2020,A+
Name_93,4/16/2019,O+
Name_94,10/12/2020,O+
Name_95,5/21/2019,O+
Name_96,5/19/2019,B-
Name_97,4/4/2019,Z+
Name_98,10/28/2019,A-
Name_99,5/17/2020,AB+
Name_100,2/28/2019,O-
